REGIJA,SPOL,LETO,DELOVNO.AKTIVNO.PREBIVALSTVO,PREBIVALSTVO
Osrednjeslovenska,Ženske,2015,100693,273637
Osrednjeslovenska,Ženske,2016,103780,274679
Osrednjeslovenska,Ženske,2017,107110,275554
Osrednjeslovenska,Ženske,2018,110572,276369
Osrednjeslovenska,Ženske,2019,113331,278878
Osrednjeslovenska,Ženske,2020,112566,280521
Gorenjska,Skupaj,2005,81390,198342
Gorenjska,Skupaj,2006,82392,199085
Gorenjska,Skupaj,2007,84716,199902
Gorenjska,Skupaj,2008,86674,201254
Gorenjska,Skupaj,2009,84678,201779
Gorenjska,Skupaj,2010,83175,202903
Gorenjska,Skupaj,2011,82197,203427
Gorenjska,Skupaj,2012,81567,204057
Gorenjska,Skupaj,2013,80277,203984
Gorenjska,Skupaj,2014,81155,203894
Gorenjska,Skupaj,2015,82235,203850
Gorenjska,Skupaj,2016,83789,203838
Gorenjska,Skupaj,2017,86539,203800
Gorenjska,Skupaj,2018,89133,203636
Gorenjska,Skupaj,2019,91059,204670
Gorenjska,Skupaj,2020,90804,206621
Gorenjska,Moški,2005,NA,96841
Gorenjska,Moški,2006,NA,97397
Gorenjska,Moški,2007,NA,97890
Gorenjska,Moški,2008,NA,99038
Gorenjska,Moški,2009,NA,99514
Gorenjska,Moški,2010,46020,100247
Gorenjska,Moški,2011,45253,100481
Gorenjska,Moški,2012,44678,100810
Gorenjska,Moški,2013,43752,100842
Gorenjska,Moški,2014,44427,100895
Gorenjska,Moški,2015,44821,100930
Gorenjska,Moški,2016,45330,100962
Gorenjska,Moški,2017,46849,100955
Gorenjska,Moški,2018,48403,101018
Gorenjska,Moški,2019,49717,102013
Gorenjska,Moški,2020,49664,103616
Gorenjska,Ženske,2005,NA,101501
Gorenjska,Ženske,2006,NA,101688
Gorenjska,Ženske,2007,NA,102012
Gorenjska,Ženske,2008,NA,102216
Gorenjska,Ženske,2009,NA,102265
Gorenjska,Ženske,2010,37155,102656
Gorenjska,Ženske,2011,36944,102946
Gorenjska,Ženske,2012,36890,103247
Gorenjska,Ženske,2013,36526,103142
Gorenjska,Ženske,2014,36728,102999
Gorenjska,Ženske,2015,37414,102920
Gorenjska,Ženske,2016,38459,102876
Gorenjska,Ženske,2017,39690,102845
Gorenjska,Ženske,2018,40730,102618
Gorenjska,Ženske,2019,41342,102657
Gorenjska,Ženske,2020,41140,103005
